Species,Scientific,ID
Dodaars,Tachybaptus ruficollis,2
Fuut,Podiceps cristatus,91
Roodhalsfuut,Podiceps grisegena,367
Geoorde Fuut,Podiceps nigricollis,3
Aalscholver,Phalacrocorax carbo,58
Roerdomp,Botaurus stellaris,1
Woudaap,Ixobrychus minutus,4
Kwak,Nycticorax nycticorax,5
Kleine Zilverreiger,Egretta garzetta,132
Grote Zilverreiger,Ardea alba,115
Blauwe Reiger,Ardea cinerea,64
Purperreiger,Ardea purpurea,6
Ooievaar,Ciconia ciconia,7
Lepelaar,Platalea leucorodia,8
Knobbelzwaan,Cygnus olor,136
Kolgans,Anser albifrons,139
Grauwe Gans,Anser anser,104
Grote Canadese Gans,Branta canadensis,110
Brandgans,Branta leucopsis,79
Casarca,Tadorna ferruginea,236
Bergeend,Tadorna tadorna,61
Smient,Mareca penelope,176
Krakeend,Mareca strepera,142
Wintertaling,Anas crecca,200
Wilde Eend,Anas platyrhynchos,198
Pijlstaart,Anas acuta,160
Zomertaling,Spatula querquedula,355
Slobeend,Spatula clypeata,175
Krooneend,Netta rufina,10
Tafeleend,Aythya ferina,184
Witoogeend,Aythya nyroca,772
Kuifeend,Aythya fuligula,144
Eider,Somateria mollissima,11
Brilduiker,Bucephala clangula,80
Middelste Zaagbek,Mergus serrator,292
Wespendief,Pernis apivorus,349
Zwarte Wouw,Milvus migrans,364
Rode Wouw,Milvus milvus,12
Zeearend,Haliaeetus albicilla,353
Bruine Kiekendief,Circus aeruginosus,81
Blauwe Kiekendief,Circus cyaneus,13
Grauwe Kiekendief,Circus pygargus,14
Havik,Accipiter gentilis,117
Sperwer,Accipiter nisus,178
Buizerd,Buteo buteo,82
Torenvalk,Falco tinnunculus,188
Boomvalk,Falco subbuteo,74
Slechtvalk,Falco peregrinus,325
Korhoen,Lyrurus tetrix,15
Patrijs,Perdix perdix,16
Kwartel,Coturnix coturnix,287
Waterral,Rallus aquaticus,348
Porseleinhoen,Porzana porzana,17
Klein Waterhoen,Zapornia parva,276
Kleinst Waterhoen,Zapornia pusilla,277
Kwartelkoning,Crex crex,18
Waterhoen,Gallinula chloropus,195
Meerkoet,Fulica atra,149
Kraanvogel,Grus grus,19
Scholekster,Haematopus ostralegus,173
Steltkluut,Himantopus himantopus,332
Kluut,Recurvirostra avosetta,20
Kleine Plevier,Charadrius dubius,761
Bontbekplevier,Charadrius hiaticula,22
Strandplevier,Charadrius alexandrinus,23
Kievit,Vanellus vanellus,129
Bonte Strandloper,Calidris alpina,68
Kemphaan,Calidris pugnax,24
Watersnip,Gallinago gallinago,25
Houtsnip,Scolopax rusticola,121
Grutto,Limosa limosa,26
Wulp,Numenius arquata,203
Tureluur,Tringa totanus,27
Oeverloper,Actitis hypoleucos,154
Zwartkopmeeuw,Ichthyaetus melanocephalus,363
Dwergmeeuw,Hydrocoloeus minutus,84
Kokmeeuw,Chroicocephalus ridibundus,138
Stormmeeuw,Larus canus,183
Kleine Mantelmeeuw,Larus fuscus,131
Zilvermeeuw,Larus argentatus,205
Grote Mantelmeeuw,Larus marinus,112
Drieteenmeeuw,Rissa tridactyla,241
Grote Stern,Thalasseus sandvicensis,28
Visdief,Sterna hirundo,29
Noordse Stern,Sterna paradisaea,30
Dwergstern,Sternula albifrons,31
Witwangstern,Chlidonias hybrida,762
Zwarte Stern,Chlidonias niger,32
Holenduif,Columba oenas,119
Houtduif,Columba palumbus,120
Turkse Tortel,Streptopelia decaocto,191
Zomertortel,Streptopelia turtur,342
Koekoek,Cuculus canorus,137
Kerkuil,Tyto alba,33
Oehoe,Bubo bubo,300
Steenuil,Athene noctua,34
Bosuil,Strix aluco,77
Ransuil,Asio otus,310
Velduil,Asio flammeus,35
Ruigpootuil,Aegolius funereus,974
Nachtzwaluw,Caprimulgus europaeus,36
Gierzwaluw,Apus apus,97
IJsvogel,Alcedo atthis,37
Bijeneter,Merops apiaster,1386
Hop,Upupa epops,38
Draaihals,Jynx torquilla,39
Groene Specht,Picus viridis,40
Zwarte Specht,Dryocopus martius,759
Grote Bonte Specht,Dendrocopos major,109
Middelste Bonte Specht,Dendrocoptes medius,290
Kleine Bonte Specht,Dryobates minor,271
Kuifleeuwerik,Galerida cristata,41
Boomleeuwerik,Lullula arborea,72
Veldleeuwerik,Alauda arvensis,192
Oeverzwaluw,Riparia riparia,155
Boerenzwaluw,Hirundo rustica,65
Huiszwaluw,Delichon urbicum,123
Duinpieper,Anthus campestris,43
Boompieper,Anthus trivialis,73
Graspieper,Anthus pratensis,103
Gele Kwikstaart,Motacilla flava,95
Engelse Kwikstaart,Motacilla flava flavissima,365
Grote Gele Kwikstaart,Motacilla cinerea,756
Witte Kwikstaart,Motacilla alba,202
Rouwkwikstaart,Motacilla alba yarrellii,319
Winterkoning,Troglodytes troglodytes,199
Heggenmus,Prunella modularis,118
Roodborst,Erithacus rubecula,168
Nachtegaal,Luscinia megarhynchos,295
Blauwborst,Luscinia svecica,62
Zwarte Roodstaart,Phoenicurus ochruros,356
Gekraagde Roodstaart,Phoenicurus phoenicurus,94
Paapje,Saxicola rubetra,44
Roodborsttapuit,Saxicola rubicola,45
Tapuit,Oenanthe oenanthe,46
Merel,Turdus merula,150
Kramsvogel,Turdus pilaris,143
Zanglijster,Turdus philomelos,204
Grote Lijster,Turdus viscivorus,111
Cetti's Zanger,Cettia cetti,237
Graszanger,Cisticola juncidis,1111
Sprinkhaanzanger,Locustella naevia,330
Snor,Locustella luscinioides,47
Rietzanger,Acrocephalus schoenobaenus,48
Bosrietzanger,Acrocephalus palustris,75
Kleine Karekiet,Acrocephalus scirpaceus,130
Grote Karekiet,Acrocephalus arundinaceus,49
Spotvogel,Hippolais icterina,179
Orpheusspotvogel,Hippolais polyglotta,302
Braamsluiper,Curruca curruca,78
Grasmus,Curruca communis,102
Tuinfluiter,Sylvia borin,189
Zwartkop,Sylvia atricapilla,213
Fluiter,Phylloscopus sibilatrix,90
Tjiftjaf,Phylloscopus collybita,186
