Species,Scientific,ID
Dodaars,Tachybaptus ruficollis,2
Fuut,Podiceps cristatus,91
Roodhalsfuut,Podiceps grisegena,367
Geoorde Fuut,Podiceps nigricollis,3
Aalscholver,Phalacrocorax carbo,58
Kwak,Nycticorax nycticorax,5
Kleine Zilverreiger,Egretta garzetta,132
Grote Zilverreiger,Ardea alba,115
Blauwe Reiger,Ardea cinerea,64
Purperreiger,Ardea purpurea,6
Ooievaar,Ciconia ciconia,7
Lepelaar,Platalea leucorodia,8
Knobbelzwaan,Cygnus olor,136
Kolgans,Anser albifrons,139
Grauwe Gans,Anser anser,104
Grote Canadese Gans,Branta canadensis,110
Brandgans,Branta leucopsis,79
Casarca,Tadorna ferruginea,236
Bergeend,Tadorna tadorna,61
Wintertaling,Anas crecca,200
Wilde Eend,Anas platyrhynchos,198
Pijlstaart,Anas acuta,160
Krooneend,Netta rufina,10
Tafeleend,Aythya ferina,184
Kuifeend,Aythya fuligula,144
Eider,Somateria mollissima,11
Brilduiker,Bucephala clangula,80
Middelste Zaagbek,Mergus serrator,292
Zwarte Wouw,Milvus migrans,364
Rode Wouw,Milvus milvus,12
Bruine Kiekendief,Circus aeruginosus,81
Blauwe Kiekendief,Circus cyaneus,13
Havik,Accipiter gentilis,117
Sperwer,Accipiter nisus,178
Buizerd,Buteo buteo,82
Torenvalk,Falco tinnunculus,188
Boomvalk,Falco subbuteo,74
Slechtvalk,Falco peregrinus,325
Waterhoen,Gallinula chloropus,195
Meerkoet,Fulica atra,149
Kraanvogel,Grus grus,19
Scholekster,Haematopus ostralegus,173
Steltkluut,Himantopus himantopus,332
Kluut,Recurvirostra avosetta,20
Kleine Plevier,Charadrius dubius,761
Bontbekplevier,Charadrius hiaticula,22
Kievit,Vanellus vanellus,129
Bonte Strandloper,Calidris alpina,68
Kemphaan,Calidris pugnax,24
Watersnip,Gallinago gallinago,25
Grutto,Limosa limosa,26
Wulp,Numenius arquata,203
Tureluur,Tringa totanus,27
Oeverloper,Actitis hypoleucos,154
Kokmeeuw,Chroicocephalus ridibundus,138
Stormmeeuw,Larus canus,183
Kleine Mantelmeeuw,Larus fuscus,131
Zilvermeeuw,Larus argentatus,205
Grote Mantelmeeuw,Larus marinus,112
Drieteenmeeuw,Rissa tridactyla,241
Grote Stern,Thalasseus sandvicensis,28
Visdief,Sterna hirundo,29
Noordse Stern,Sterna paradisaea,30
Zwarte Stern,Chlidonias niger,32
Houtduif,Columba palumbus,120
Turkse Tortel,Streptopelia decaocto,191
Zomertortel,Streptopelia turtur,342
Koekoek,Cuculus canorus,137
Kerkuil,Tyto alba,33
Steenuil,Athene noctua,34
Ransuil,Asio otus,310
Velduil,Asio flammeus,35
Gierzwaluw,Apus apus,97
IJsvogel,Alcedo atthis,37
Bijeneter,Merops apiaster,1386
Hop,Upupa epops,38
Groene Specht,Picus viridis,40
Grote Bonte Specht,Dendrocopos major,109
Kuifleeuwerik,Galerida cristata,41
Veldleeuwerik,Alauda arvensis,192
Oeverzwaluw,Riparia riparia,155
Boerenzwaluw,Hirundo rustica,65
Huiszwaluw,Delichon urbicum,123
Graspieper,Anthus pratensis,103
Gele Kwikstaart,Motacilla flava,95
Grote Gele Kwikstaart,Motacilla cinerea,756
Witte Kwikstaart,Motacilla alba,202
Winterkoning,Troglodytes troglodytes,199
Heggenmus,Prunella modularis,118
Roodborst,Erithacus rubecula,168
Blauwborst,Luscinia svecica,62
Zwarte Roodstaart,Phoenicurus ochruros,356
Gekraagde Roodstaart,Phoenicurus phoenicurus,94
Paapje,Saxicola rubetra,44
Roodborsttapuit,Saxicola rubicola,45
Tapuit,Oenanthe oenanthe,46
Merel,Turdus merula,150
Kramsvogel,Turdus pilaris,143
Zanglijster,Turdus philomelos,204
Grote Lijster,Turdus viscivorus,111
Zwartkop,Sylvia atricapilla,213
Tjiftjaf,Phylloscopus collybita,186
Goudhaan,Regulus regulus,99
Vuurgoudhaan,Regulus ignicapilla,347
Grauwe Vliegenvanger,Muscicapa striata,105
Bonte Vliegenvanger,Ficedula hypoleuca,69
Staartmees,Aegithalos caudatus,181
Zwarte Mees,Periparus ater,209
Pimpelmees,Cyanistes caeruleus,161
Koolmees,Parus major,140
Boomklever,Sitta europaea,70
Grauwe Klauwier,Lanius collurio,51
Klapekster,Lanius excubitor,52
Gaai,Garrulus glandarius,92
Ekster,Pica pica,87
Huiskraai,Corvus splendens,261
Roek,Corvus frugilegus,167
Zwarte Kraai,Corvus corone,208
Bonte Kraai,Corvus cornix,67
Raaf,Corvus corax,54
Spreeuw,Sturnus vulgaris,180
Huismus,Passer domesticus,122
Ringmus,Passer montanus,166
Vink,Fringilla coelebs,193
Keep,Fringilla montifringilla,127
Europese Kanarie,Serinus serinus,248
Groenling,Chloris chloris,261771
Putter,Carduelis carduelis,162
Sijs,Spinus spinus,174
Kruisbek,Loxia curvirostra,284
Goudvink,Pyrrhula pyrrhula,101
Appelvink,Coccothraustes coccothraustes,59
Geelgors,Emberiza citrinella,55
Rietgors,Emberiza schoeniclus,164
Grauwe Gors,Emberiza calandra,57
Roodkeelduiker,Gavia stellata,314
IJsduiker,Gavia immer,263
Kuifduiker,Podiceps auritus,286
Noordse Stormvogel,Fulmarus glacialis,298
Jan-van-gent,Morus bassanus,267
Koereiger,Bubulcus ibis,360
Zwarte Ibis,Plegadis falcinellus,853
Wilde Zwaan,Cygnus cygnus,351
Topper,Aythya marila,187
IJseend,Clangula hyemalis,264
Grote Zee-eend,Melanitta fusca,258
Grote Zaagbek,Mergus merganser,114
Ruigpootbuizerd,Buteo lagopus,321
Visarend,Pandion haliaetus,346
Smelleken,Falco columbarius,326
Zilverplevier,Pluvialis squatarola,206
Kanoet,Calidris canutus,125
Drieteenstrandloper,Calidris alba,83
Gestreepte Strandloper,Calidris melanotos,370
Krombekstrandloper,Calidris ferruginea,283
Paarse Strandloper,Calidris maritima,158
Rosse Grutto,Limosa lapponica,170
Regenwulp,Numenius phaeopus,163
