ID,Scientific
9/32670539,Tachybaptus ruficollis
8/32664908,Tachybaptus ruficollis
0/32663960,Tachybaptus ruficollis
8/32662888,Tachybaptus ruficollis
3/32660353,Tachybaptus ruficollis
2/32660352,Tachybaptus ruficollis
5/32660255,Tachybaptus ruficollis
6/32659486,Tachybaptus ruficollis
2/32658652,Tachybaptus ruficollis
7/32659277,Tachybaptus ruficollis
8/32657658,Tachybaptus ruficollis
8/32657618,Tachybaptus ruficollis
5/32656925,Tachybaptus ruficollis
3/32656753,Tachybaptus ruficollis
9/32656199,Tachybaptus ruficollis
0/32655400,Tachybaptus ruficollis
6/32653176,Tachybaptus ruficollis
1/32651181,Tachybaptus ruficollis
4/32645614,Tachybaptus ruficollis
0/32645020,Tachybaptus ruficollis
1/32640091,Tachybaptus ruficollis
8/32638248,Tachybaptus ruficollis
0/32637030,Tachybaptus ruficollis
7/32636207,Tachybaptus ruficollis
6/32666966,Podiceps cristatus
7/32665757,Podiceps cristatus
7/32665677,Podiceps cristatus
8/32664758,Podiceps cristatus
8/32664698,Podiceps cristatus
8/32664548,Podiceps cristatus
0/32663290,Podiceps cristatus
6/32662136,Podiceps cristatus
5/32662135,Podiceps cristatus
7/32660007,Podiceps cristatus
2/32656552,Podiceps cristatus
7/32655597,Podiceps cristatus
9/32653429,Podiceps cristatus
0/32652120,Podiceps cristatus
0/32658830,Podiceps cristatus
4/32650704,Podiceps cristatus
1/32650621,Podiceps cristatus
5/32650305,Podiceps cristatus
6/32666936,Podiceps cristatus
5/32666935,Podiceps cristatus
0/32645400,Podiceps cristatus
8/32641378,Podiceps cristatus
7/32641377,Podiceps cristatus
3/32640533,Podiceps cristatus
3/32661613,Podiceps grisegena
1/32667451,Podiceps grisegena
7/32667447,Podiceps grisegena
4/32660184,Podiceps grisegena
3/32660183,Podiceps grisegena
2/32660182,Podiceps grisegena
1/32660181,Podiceps grisegena
0/32660180,Podiceps grisegena
4/32657604,Podiceps grisegena
3/32657603,Podiceps grisegena
2/32657602,Podiceps grisegena
2/32657332,Podiceps grisegena
1/32658681,Podiceps grisegena
1/32658591,Podiceps grisegena
2/32658492,Podiceps grisegena
5/32655735,Podiceps grisegena
8/32657638,Podiceps grisegena
3/32652773,Podiceps grisegena
2/32652772,Podiceps grisegena
9/32647779,Podiceps grisegena
8/32647778,Podiceps grisegena
7/32647777,Podiceps grisegena
4/32644844,Podiceps grisegena
3/32641583,Podiceps grisegena
4/32667144,Podiceps nigricollis
0/32656670,Podiceps nigricollis
2/32656662,Podiceps nigricollis
7/32659657,Podiceps nigricollis
9/32651269,Podiceps nigricollis
8/32651268,Podiceps nigricollis
1/32630141,Podiceps nigricollis
0/32630140,Podiceps nigricollis
9/32630139,Podiceps nigricollis
8/32626958,Podiceps nigricollis
7/32626957,Podiceps nigricollis
9/32626279,Podiceps nigricollis
7/32625427,Podiceps nigricollis
6/32625426,Podiceps nigricollis
5/32625425,Podiceps nigricollis
4/32625424,Podiceps nigricollis
1/32615281,Podiceps nigricollis
0/32615280,Podiceps nigricollis
7/32606877,Podiceps nigricollis
3/32600593,Podiceps nigricollis
2/32600592,Podiceps nigricollis
7/32589057,Podiceps nigricollis
6/32589056,Podiceps nigricollis
1/32583971,Podiceps nigricollis
9/32672669,Phalacrocorax carbo
7/32675127,Phalacrocorax carbo
2/32675072,Phalacrocorax carbo
0/32674040,Phalacrocorax carbo
7/32670377,Phalacrocorax carbo
9/32667599,Phalacrocorax carbo
7/32666967,Phalacrocorax carbo
8/32665798,Phalacrocorax carbo
7/32665797,Phalacrocorax carbo
9/32664999,Phalacrocorax carbo
7/32664737,Phalacrocorax carbo
2/32664032,Phalacrocorax carbo
2/32664022,Phalacrocorax carbo
4/32661644,Phalacrocorax carbo
8/32661168,Phalacrocorax carbo
0/32660340,Phalacrocorax carbo
0/32659310,Phalacrocorax carbo
9/32659309,Phalacrocorax carbo
5/32658225,Phalacrocorax carbo
9/32658239,Phalacrocorax carbo
2/32658102,Phalacrocorax carbo
1/32658101,Phalacrocorax carbo
0/32658100,Phalacrocorax carbo
9/32658099,Phalacrocorax carbo
9/32584999,Nycticorax nycticorax
2/32534172,Nycticorax nycticorax
6/32494146,Nycticorax nycticorax
0/32476740,Nycticorax nycticorax
8/32476738,Nycticorax nycticorax
7/32476737,Nycticorax nycticorax
6/32476736,Nycticorax nycticorax
8/32471278,Nycticorax nycticorax
6/32443436,Nycticorax nycticorax
5/32443435,Nycticorax nycticorax
3/32393863,Nycticorax nycticorax
2/32393862,Nycticorax nycticorax
6/32362796,Nycticorax nycticorax
5/32362795,Nycticorax nycticorax
4/32362794,Nycticorax nycticorax
2/32354562,Nycticorax nycticorax
1/32354561,Nycticorax nycticorax
7/32318287,Nycticorax nycticorax
6/32318286,Nycticorax nycticorax
0/32305190,Nycticorax nycticorax
5/32279395,Nycticorax nycticorax
6/32035106,Nycticorax nycticorax
7/31972007,Nycticorax nycticorax
6/31972006,Nycticorax nycticorax
3/32660573,Egretta garzetta
6/32654566,Egretta garzetta
1/32652091,Egretta garzetta
0/32652090,Egretta garzetta
3/32646303,Egretta garzetta
3/32645843,Egretta garzetta
2/32645842,Egretta garzetta
6/32645286,Egretta garzetta
3/32643963,Egretta garzetta
2/32643962,Egretta garzetta
1/32643961,Egretta garzetta
1/32643301,Egretta garzetta
4/32642934,Egretta garzetta
9/32641569,Egretta garzetta
0/32620170,Egretta garzetta
9/32618939,Egretta garzetta
7/32612637,Egretta garzetta
4/32601804,Egretta garzetta
9/32601609,Egretta garzetta
8/32601608,Egretta garzetta
9/32600499,Egretta garzetta
5/32597425,Egretta garzetta
8/32587468,Egretta garzetta
3/32587293,Egretta garzetta
5/32675985,Ardea alba
4/32675984,Ardea alba
3/32675983,Ardea alba
3/32674403,Ardea alba
6/32674396,Ardea alba
5/32674395,Ardea alba
6/32671216,Ardea alba
2/32670542,Ardea alba
5/32669165,Ardea alba
2/32675092,Ardea alba
9/32675699,Ardea alba
0/32673480,Ardea alba
4/32672214,Ardea alba
7/32670417,Ardea alba
3/32670233,Ardea alba
2/32670232,Ardea alba
1/32670231,Ardea alba
0/32670230,Ardea alba
9/32670229,Ardea alba
0/32667520,Ardea alba
2/32667382,Ardea alba
1/32667381,Ardea alba
2/32666412,Ardea alba
7/32665887,Ardea alba
1/32671371,Ardea cinerea
1/32669441,Ardea cinerea
4/32670734,Ardea cinerea
8/32670248,Ardea cinerea
7/32670247,Ardea cinerea
3/32669073,Ardea cinerea
7/32668237,Ardea cinerea
0/32665950,Ardea cinerea
3/32665653,Ardea cinerea
0/32665640,Ardea cinerea
2/32664812,Ardea cinerea
1/32664751,Ardea cinerea
0/32664750,Ardea cinerea
4/32664034,Ardea cinerea
0/32661360,Ardea cinerea
0/32660670,Ardea cinerea
8/32659628,Ardea cinerea
7/32659627,Ardea cinerea
1/32658721,Ardea cinerea
2/32657702,Ardea cinerea
3/32657433,Ardea cinerea
9/32657399,Ardea cinerea
5/32656655,Ardea cinerea
8/32656228,Ardea cinerea
1/32295991,Ardea purpurea
6/32263516,Ardea purpurea
3/32047433,Ardea purpurea
0/32004420,Ardea purpurea
4/31974524,Ardea purpurea
5/31938515,Ardea purpurea
8/31932228,Ardea purpurea
7/31881737,Ardea purpurea
5/31813195,Ardea purpurea
2/31799402,Ardea purpurea
0/31762580,Ardea purpurea
5/31752615,Ardea purpurea
4/31673244,Ardea purpurea
3/31673243,Ardea purpurea
6/31664036,Ardea purpurea
1/31647781,Ardea purpurea
0/31647780,Ardea purpurea
8/31637598,Ardea purpurea
0/31583130,Ardea purpurea
2/32037992,Ardea purpurea
7/31546507,Ardea purpurea
5/31538995,Ardea purpurea
4/31540374,Ardea purpurea
3/31540213,Ardea purpurea
7/32671377,Ciconia ciconia
8/32668228,Ciconia ciconia
0/32664840,Ciconia ciconia
9/32663349,Ciconia ciconia
2/32662472,Ciconia ciconia
1/32659591,Ciconia ciconia
9/32656519,Ciconia ciconia
8/32656518,Ciconia ciconia
2/32656342,Ciconia ciconia
1/32656341,Ciconia ciconia
9/32656289,Ciconia ciconia
8/32656288,Ciconia ciconia
7/32656287,Ciconia ciconia
0/32656320,Ciconia ciconia
4/32660494,Ciconia ciconia
7/32652817,Ciconia ciconia
9/32651969,Ciconia ciconia
7/32651307,Ciconia ciconia
6/32651306,Ciconia ciconia
5/32651305,Ciconia ciconia
4/32651304,Ciconia ciconia
3/32656453,Ciconia ciconia
9/32639239,Ciconia ciconia
5/32637135,Ciconia ciconia
3/32642823,Platalea leucorodia
7/32639617,Platalea leucorodia
3/32628613,Platalea leucorodia
1/32629771,Platalea leucorodia
0/32629770,Platalea leucorodia
9/32629769,Platalea leucorodia
8/32629768,Platalea leucorodia
7/32629767,Platalea leucorodia
4/32627894,Platalea leucorodia
0/32605730,Platalea leucorodia
9/32605729,Platalea leucorodia
8/32601748,Platalea leucorodia
1/32599871,Platalea leucorodia
0/32599870,Platalea leucorodia
9/32599869,Platalea leucorodia
9/32592629,Platalea leucorodia
5/32592575,Platalea leucorodia
7/32592487,Platalea leucorodia
4/32592484,Platalea leucorodia
2/32591912,Platalea leucorodia
0/32587650,Platalea leucorodia
6/32578666,Platalea leucorodia
5/32575405,Platalea leucorodia
4/32575404,Platalea leucorodia
8/32669438,Cygnus olor
2/32669422,Cygnus olor
4/32669994,Cygnus olor
3/32669993,Cygnus olor
2/32669992,Cygnus olor
1/32669991,Cygnus olor
0/32669990,Cygnus olor
4/32668404,Cygnus olor
8/32665838,Cygnus olor
9/32665749,Cygnus olor
3/32665703,Cygnus olor
2/32665552,Cygnus olor
8/32664858,Cygnus olor
9/32664299,Cygnus olor
3/32660273,Cygnus olor
2/32659082,Cygnus olor
3/32658713,Cygnus olor
0/32657890,Cygnus olor
2/32656782,Cygnus olor
8/32656388,Cygnus olor
3/32656123,Cygnus olor
1/32655801,Cygnus olor
0/32655800,Cygnus olor
0/32655500,Cygnus olor
7/32673877,Anser albifrons
3/32672813,Anser albifrons
2/32672812,Anser albifrons
7/32672077,Anser albifrons
4/32670524,Anser albifrons
7/32669447,Anser albifrons
5/32669405,Anser albifrons
5/32669295,Anser albifrons
7/32673987,Anser albifrons
1/32664851,Anser albifrons
6/32664736,Anser albifrons
2/32664832,Anser albifrons
4/32664164,Anser albifrons
7/32663717,Anser albifrons
6/32663716,Anser albifrons
0/32662180,Anser albifrons
1/32661631,Anser albifrons
0/32661630,Anser albifrons
9/32661439,Anser albifrons
8/32661438,Anser albifrons
4/32660174,Anser albifrons
3/32660173,Anser albifrons
3/32660143,Anser albifrons
0/32656370,Anser albifrons
9/32670389,Anser anser
7/32668827,Anser anser
6/32668826,Anser anser
5/32668825,Anser anser
4/32668824,Anser anser
3/32668823,Anser anser
3/32668393,Anser anser
3/32667453,Anser anser
1/32665911,Anser anser
5/32665835,Anser anser
2/32665802,Anser anser
3/32665733,Anser anser
7/32665707,Anser anser
6/32664866,Anser anser
3/32664263,Anser anser
2/32664262,Anser anser
9/32664279,Anser anser
1/32663891,Anser anser
0/32663890,Anser anser
2/32663302,Anser anser
6/32662186,Anser anser
6/32660386,Anser anser
1/32660351,Anser anser
6/32660256,Anser anser
2/32669002,Branta canadensis
1/32669001,Branta canadensis
0/32669000,Branta canadensis
9/32668999,Branta canadensis
7/32660347,Branta canadensis
6/32660346,Branta canadensis
6/32660336,Branta canadensis
6/32660286,Branta canadensis
5/32659505,Branta canadensis
0/32657680,Branta canadensis
7/32654537,Branta canadensis
0/32669050,Branta canadensis
6/32646666,Branta canadensis
5/32646665,Branta canadensis
0/32642930,Branta canadensis
2/32642482,Branta canadensis
4/32636164,Branta canadensis
3/32649543,Branta canadensis
4/32630914,Branta canadensis
7/32627007,Branta canadensis
8/32624238,Branta canadensis
9/32631709,Branta canadensis
3/32631633,Branta canadensis
3/32618233,Branta canadensis
9/32672779,Branta leucopsis
8/32672778,Branta leucopsis
6/32669446,Branta leucopsis
5/32669445,Branta leucopsis
4/32669444,Branta leucopsis
7/32668167,Branta leucopsis
8/32669408,Branta leucopsis
9/32667159,Branta leucopsis
5/32662865,Branta leucopsis
5/32662805,Branta leucopsis
8/32660348,Branta leucopsis
8/32660118,Branta leucopsis
2/32660372,Branta leucopsis
5/32663675,Branta leucopsis
5/32658885,Branta leucopsis
7/32658777,Branta leucopsis
5/32657175,Branta leucopsis
6/32656876,Branta leucopsis
9/32656839,Branta leucopsis
7/32656007,Branta leucopsis
0/32656620,Branta leucopsis
9/32656619,Branta leucopsis
2/32654602,Branta leucopsis
9/32654549,Branta leucopsis
2/32675902,Tadorna ferruginea
0/32666370,Tadorna ferruginea
1/32659551,Tadorna ferruginea
1/32644161,Tadorna ferruginea
8/32642678,Tadorna ferruginea
7/32631697,Tadorna ferruginea
3/32631693,Tadorna ferruginea
5/32628025,Tadorna ferruginea
8/32628038,Tadorna ferruginea
2/32618212,Tadorna ferruginea
1/32618211,Tadorna ferruginea
0/32618210,Tadorna ferruginea
4/32618234,Tadorna ferruginea
1/32617391,Tadorna ferruginea
1/32610601,Tadorna ferruginea
9/32610599,Tadorna ferruginea
