ID,Scientific,ScientificPred0,CommonPred0,ProbPred0,ScientificPred1,CommonPred1,ProbPred1,ScientificPred2,CommonPred2,ProbPred2,ScientificPred3,CommonPred3,ProbPred3,ScientificPred4,CommonPred4,ProbPred4
9/32670539,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,83.45,Tachybaptus dominicus,Least Grebe,7.72,Podilymbus podiceps,Pied billed Grebe,2.43,Podiceps nigricollis,Eared Grebe,0.58,Podiceps grisegena,Red necked Grebe,0.33
8/32664908,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,33.66,Tachybaptus dominicus,Least Grebe,22.29,Podilymbus podiceps,Pied billed Grebe,6.48,Cerorhinca monocerata,Rhinoceros Auklet,4.51,Podiceps grisegena,Red necked Grebe,3.34
0/32663960,Tachybaptus ruficollis,Oxyura jamaicensis,Ruddy Duck,30.35,Tachybaptus ruficollis,Little Grebe,10.59,Aythya valisineria,Canvasback,10.18,Podilymbus podiceps,Pied billed Grebe,5.85,Aythya collaris,Ring necked Duck,4.96
8/32662888,Tachybaptus ruficollis,Podiceps grisegena,Red necked Grebe,46.92,Podiceps auritus,Horned Grebe,15.37,Tachybaptus ruficollis,Little Grebe,9.7,Podiceps nigricollis,Eared Grebe,6.94,Podiceps cristatus,Great Crested Grebe,6.75
3/32660353,Tachybaptus ruficollis,Oxyura jamaicensis,Ruddy Duck,27.9,Aythya americana,Redhead,20.17,Aythya affinis,Lesser Scaup,10.83,Aythya novaeseelandiae,New Zealand Scaup,7.87,Aythya collaris,Ring necked Duck,5.71
2/32660352,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,20.93,Oxyura jamaicensis,Ruddy Duck,13.98,Podilymbus podiceps,Pied billed Grebe,5.83,Podiceps cristatus,Great Crested Grebe,5.67,Podiceps grisegena,Red necked Grebe,4.66
5/32660255,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,36.6,Podilymbus podiceps,Pied billed Grebe,9.0,Podiceps nigricollis,Eared Grebe,7.07,Tachybaptus dominicus,Least Grebe,6.67,Podiceps grisegena,Red necked Grebe,6.3
6/32659486,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,64.75,Tachybaptus dominicus,Least Grebe,3.01,Podilymbus podiceps,Pied billed Grebe,2.99,Cerorhinca monocerata,Rhinoceros Auklet,1.59,Podiceps grisegena,Red necked Grebe,1.19
2/32658652,Tachybaptus ruficollis,Podilymbus podiceps,Pied billed Grebe,36.13,Tachybaptus ruficollis,Little Grebe,20.92,Podiceps grisegena,Red necked Grebe,3.28,Podiceps nigricollis,Eared Grebe,2.1,Tachybaptus dominicus,Least Grebe,2.02
7/32659277,Tachybaptus ruficollis,Podiceps grisegena,Red necked Grebe,17.37,Tachybaptus ruficollis,Little Grebe,12.61,Podiceps nigricollis,Eared Grebe,12.37,Podiceps auritus,Horned Grebe,9.71,Tachybaptus dominicus,Least Grebe,8.47
8/32657658,Tachybaptus ruficollis,Tachybaptus dominicus,Least Grebe,44.43,Tachybaptus ruficollis,Little Grebe,42.56,Podilymbus podiceps,Pied billed Grebe,4.47,Podiceps nigricollis,Eared Grebe,1.44,Podiceps grisegena,Red necked Grebe,0.99
8/32657618,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,41.95,Tachybaptus dominicus,Least Grebe,23.21,Podilymbus podiceps,Pied billed Grebe,16.73,Podiceps nigricollis,Eared Grebe,2.94,Podiceps grisegena,Red necked Grebe,0.82
5/32656925,Tachybaptus ruficollis,Podiceps nigricollis,Eared Grebe,43.74,Podiceps grisegena,Red necked Grebe,16.13,Tachybaptus dominicus,Least Grebe,11.18,Tachybaptus ruficollis,Little Grebe,9.47,Podilymbus podiceps,Pied billed Grebe,4.43
3/32656753,Tachybaptus ruficollis,Podiceps auritus,Horned Grebe,52.34,Podiceps grisegena,Red necked Grebe,12.44,Podiceps nigricollis,Eared Grebe,11.65,Podiceps cristatus,Great Crested Grebe,5.56,Tachybaptus ruficollis,Little Grebe,4.03
9/32656199,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,41.66,Podilymbus podiceps,Pied billed Grebe,10.15,Tachybaptus dominicus,Least Grebe,7.51,Podiceps grisegena,Red necked Grebe,1.71,Aythya novaeseelandiae,New Zealand Scaup,1.35
0/32655400,Tachybaptus ruficollis,Tachybaptus dominicus,Least Grebe,32.68,Tachybaptus ruficollis,Little Grebe,27.54,Podilymbus podiceps,Pied billed Grebe,5.91,Lophodytes cucullatus,Hooded Merganser,2.71,Podiceps grisegena,Red necked Grebe,2.1
6/32653176,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,81.23,Tachybaptus dominicus,Least Grebe,8.35,Podilymbus podiceps,Pied billed Grebe,3.51,Podiceps nigricollis,Eared Grebe,0.26,Aythya novaeseelandiae,New Zealand Scaup,0.2
1/32651181,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe,78.35,Podilymbus podiceps,Pied billed Grebe,8.37,Tachybaptus dominicus,Least Grebe,2.55,Podiceps cristatus,Great Crested Grebe,0.88,Podiceps nigricollis,Eared Grebe,0.54
4/32645614,Tachybaptus ruficollis,Tachybaptus dominicus,Least Grebe,27.78,Tachybaptus ruficollis,Little Grebe,24.32,Podilymbus podiceps,Pied billed Grebe,21.18,Podiceps nigricollis,Eared Grebe,5.32,Podiceps cristatus,Great Crested Grebe,5.1
