Species,URL
Acanthis flammea,https://images.naturalis.nl/original/106611_bz5a3703.jpg
Accipiter gentilis,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1648/format/large
Accipiter nisus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257594.a_dor/format/large
Actitis hypoleucos,https://medialib.naturalis.nl/file/id/RMNH.AVES.257299_1/format/large
Aegithalos caudatus,https://images.naturalis.nl/original/129277_caravan_5680.jpg
Alauda arvensis,https://images.naturalis.nl/original/195627.jpg
Alca torda,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2717/format/large
Alcedo atthis,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1935/format/large
Anas acuta,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1887/format/large
Anas crecca,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1882/format/large
Anas platyrhynchos,https://medialib.naturalis.nl/file/id/RMNH.ART.444/format/large
Anser albifrons,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2027/format/large
Anser anser,https://medialib.naturalis.nl/file/id/RMNH.AVES.257997_2/format/large
Anthus pratensis,https://images.naturalis.nl/original/132981.jpg
Apus apus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1814/format/large
Ardea alba,https://medialib.naturalis.nl/file/id/image-134791/format/large
Ardea cinerea,https://medialib.naturalis.nl/file/id/RMNH.AVES.257312_3/format/large
Ardea purpurea,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2215/format/large
Arenaria interpres,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2600/format/large
Asio flammeus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1929/format/large
Asio otus,https://medialib.naturalis.nl/file/id/image-134717/format/large
Athene noctua,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1526/format/large
Aythya ferina,https://medialib.naturalis.nl/file/id/image-134833/format/large
Aythya fuligula,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2077/format/large
Aythya marila,https://medialib.naturalis.nl/file/id/RMNH.AVES.164822_preplog/format/large
Bombycilla garrulus,https://medialib.naturalis.nl/file/id/RMNH.AVES.25737_2/format/large
Branta canadensis,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2305/format/large
Branta leucopsis,https://medialib.naturalis.nl/file/id/ZMA.AVES.19833_ven/format/large
Bubulcus ibis,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2230/format/large
Bucephala clangula,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2038/format/large
Buteo buteo,https://medialib.naturalis.nl/file/id/image-134869/format/large
Buteo lagopus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2539/format/large
Calcarius lapponicus,https://medialib.naturalis.nl/file/id/RMNH.AVES.149386_2/format/large
Calidris alba,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2674/format/large
Calidris alpina,https://medialib.naturalis.nl/file/id/image-134923/format/large
Calidris canutus,https://medialib.naturalis.nl/file/id/image-134920/format/large
Calidris ferruginea,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2681/format/large
Calidris maritima,https://medialib.naturalis.nl/file/id/image-134922/format/large
Calidris melanotos,https://images.naturalis.nl/original/100220_jonker_3999.jpg
Calidris pugnax,https://images.naturalis.nl/original/130448_kemphaan-zuidlaardermeergebied_bz5a0944.jpg
Carduelis carduelis,https://images.naturalis.nl/original/94441.jpg
Cepphus grylle,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2325/format/large
Charadrius dubius,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2586/format/large
Charadrius hiaticula,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2583/format/large
Chlidonias niger,https://medialib.naturalis.nl/file/id/image-134989/format/large
Chloris chloris,https://images.naturalis.nl/original/127617_bz5a8614.jpg
Chroicocephalus ridibundus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3471/format/large
Ciconia ciconia,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2199/format/large
Cinclus cinclus,https://medialib.naturalis.nl/file/id/RMNH.AVES.58748_1/format/large
Circus aeruginosus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2516/format/large
Circus cyaneus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.3637/format/large
Clangula hyemalis,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2095/format/large
Coccothraustes coccothraustes,https://images.naturalis.nl/original/65614.jpg
Columba palumbus,https://medialib.naturalis.nl/file/id/image-134998/format/large
Corvus corax,https://medialib.naturalis.nl/file/id/RMNH.AVES.257957_4/format/large
Corvus cornix,https://images.naturalis.nl/original/55995.jpg
Corvus corone,https://images.naturalis.nl/original/140091.jpg
Corvus frugilegus,https://images.naturalis.nl/original/113455_stennwijk_1526.jpg
Cuculus canorus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1976/format/large
Cyanistes caeruleus,https://medialib.naturalis.nl/file/id/RMNH.AVES.257798_3/format/large
Cygnus cygnus,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.2116/format/large
Cygnus olor,https://medialib.naturalis.nl/file/id/RMNH.AVES.P.1674/format/large
Delichon urbicum,https://medialib.naturalis.nl/file/id/RMNH.AVES.257595.a_dor/format/large
Dendrocopos major,https://medialib.naturalis.nl/file/id/RMNH.AVES.29648_4/format/large
Egretta garzetta,https://medialib.naturalis.nl/file/id/RMNH.AVES.257393_9/format/large
Emberiza calandra,https://medialib.naturalis.nl/file/id/RMNH.AVES.148648_2/format/large
Emberiza citrinella,https://images.naturalis.nl/original/123096_hijken_1954.jpg
Emberiza schoeniclus,https://images.naturalis.nl/original/200581.jpg
Eremophila alpestris,https://medialib.naturalis.nl/file/id/RMNH.AVES.4089_1/format/large
